English,Khmer
encrypted,បានអ៊ិនគ្រីប
encrypting,អ៊ិនគ្រីប
encryption,ការអ៊ិនគ្រីប
encrypts,អ៊ីនគ្រីប
encumber,encumber
encumbered,encumbered
encumbering,encumbering
encumbrance,encumbrance
encumbrances,encumbrance
encyclical,encyclical
encyclopaedia,សព្វវចនាធិប្បាយ
encyclopaedias,សព្វវចនាធិប្បាយ
encyclopaedic,encyclopaedic
encyclopedia,សព្វវចនាធិប្បាយ
encyclopedias,សព្វវចនាធិប្បាយ
encyclopedic,encyclopedic
end,ចុងបញ្ចប់
endanger,ប៉ះពាល់
endangered,ជិតផុតពូជ
endangering,គ្រោះថ្នាក់និងប៉ះពាល់
endangers,ដែលជិតផុតពូជ
endear,សម្បត្ដិ
endeared,សម្បត្ដិ
endearing,endearing
endearingly,endearingly
endearment,សម្បត្ដិ
endearments,សម្បត្ដិ
endears,សម្បត្ដិ
endeavour,ព្យាយាម
endeavoured,ខិតខំ
endeavouring,ព្យាយាម
endeavours,ការខិតខំ
ended,បានបញ្ចប់
endemic,តំបន់
endemically,តំបន់
endgame,ស្ដ្របញ្ចប់
ending,បញ្ចប់
endings,ចុង
endive,ទី​បញ្ចប់
endless,គ្មានទីបញ្ចប់
endlessly,គ្មានទីបញ្ចប់
endlessness,គ្មានទីបញ្ចប់
endocrine,ក្រពេញ
endogenous,មិនគ្រោះថ្នាក់
endogenously,Endogenous
endometrial,ស្រទាប់ស្បូន
endometriosis,អង់ដូមី
endometrium,ស្បូន
endomorphism,endomorphism
endomorphisms,endomorphisms
endoplasmic,endoplasmic
endorphins,អរម៉ូន endorphins
endorse,យល់ព្រម
endorsed,អនុម័ត
endorsement,យល់ព្រម
endorsements,ការគាំទ្រ
endorser,អ្នកថតផ្សព្វផ្សាយ
endorses,យល់ព្រម
endorsing,គាំទ្រ
endoscope,ឆ្លុះ
endoscopic,ការចោះ
endoscopy,ការឆ្លុះ
endothermic,endothermic
endotoxin,endotoxin
endow,អំណោយទានពិសិដ្ឋ
endowed,អំណោយទានពិសិដ្ឋ
endowing,endowing
endowment,អំណោយទានពិសិដ្ឋ
endowments,ទាយជ្ជទាន
endows,អំណោយទានពិសិដ្ឋ
endpapers,endpapers
ends,ចុង
endued,endued
endues,endues
endungeoned,endungeoned
endurable,ស៊ូទ្រាំបាន
endurance,ស៊ូទ្រាំ
endure,ស៊ូទ្រាំ
endured,បានស៊ូទ្រាំ
endures,ស៊ូទ្រាំ
enduring,ឋិតថេរ
enema,enema
enemas,ការ enemas
enemies,ខ្មាំងសត្រូវ
enemy,សត្រូវ
energetic,ស្វាហាប់
energetically,ស្វាហាប់
energetics,ស្វាហាប់
energies,ថាមពល
energise,កម្លាំង
energised,ថាមពល
energiser,energiser
energisers,energisers
energising,កម្លាំង
energy,ថាមពល
enervate,enervate
enervated,enervated
enervating,enervating
enfeeble,enfeeble
enfeebled,enfeebled
enfeeblement,enfeeblement
enfold,enfold
enfolded,enfolded
enfolding,enfolding
enfolds,enfolds
enforce,ពង្រឹង
enforceability,អនុវត្ត
enforceable,អាចប្រតិបត្តិបាន
enforced,បង្ខំ
enforcement,ការអនុវត្ត
enforcements,ធ្វើការអនុវត្តច្បាប់
enforcer,អនុវត្ត
enforcers,អនុវត្ត
enforces,ការអនុវត្ត
enforcing,អនុវត្ត
enfranchise,enfranchise
enfranchised,enfranchised
enfranchisement,enfranchisement
enfranchiser,enfranchiser
enfranchising,enfranchising
engage,ចូលរួម
engaged,ភ្ជាប់ពាក្យ
engagement,ការចូលរួម
engagements,ការភ្ជាប់
engages,ការចូលរួម
engaging,ចូលរួមពិភាក្សា
engagingly,engagingly
engarde,engarde
engels,Engel
engender,engender
engendered,engendered
engendering,engendering
engenders,engenders
engine,ម៉ាស៊ីន
engined,វិស្វកម្ម
engineer,វិស្វករ
engineered,Engineered
engineering,វិស្វកម្ម
engineers,វិស្វករ
engines,ម៉ាស៊ីន
england,ប្រទេសអង់គ្លេស
english,ភាសាអង់គ្លេស
engorge,ការស្ទះ
engorged,ការស្ទះ
engrained,engrained
engrave,engraving
engraved,engraving
engraver,ចម្លាក់
engravers,engraving
engraves,engraving
engraving,engraving
engravings,engravings
engross,engrossing
engrossed,បាន engrossed
engrossing,engrossing
engulf,engulf
engulfed,engulf
engulfing,engulf
engulfs,engulf
enhance,បង្កើន
enhanceable,ភាពប្រសើរឡើង
enhanced,ប្រសើរឡើង
enhancement,បង្កើន
enhancements,ភាពប្រសើរឡើង
enhancer,ភាពប្រសើរឡើង
enhancers,ភាពប្រសើរឡើង
enhances,បង្កើន
enhancing,ការបង្កើន
enharmonic,enharmonic
enigma,Enigma
enigmas,Enigma
enigmatic,ប្រស្នា
enigmatically,enigmatically
enjoin,ចូរដាស់តឿន
enjoined,ចូរដាស់តឿន
enjoining,ចូរដាស់តឿន
enjoins,ចូរដាស់តឿន
enjoy,រីករាយជាមួយ
enjoyability,រីករាយ
enjoyable,រីករាយ
enjoyably,រីករាយ
enjoyed,រីករាយ
enjoyer,enjoyer
enjoying,រីករាយជាមួយ
enjoyment,រីករាយ
enjoyments,ភាពរីករាយ
enjoys,រីករាយ
enlace,enlace
enlarge,ពង្រីក
enlarged,ពង្រីក
enlargement,រីក
enlargements,ពង្រីក
enlarger,ពង្រីក
enlarges,ពង្រីក
enlarging,ពង្រីក
enlighten,បំភ្លឺ
enlightened,ការត្រាស់ដឹង
enlightening,បំភ្លឺ
enlightenment,ការត្រាស់ដឹង
enlightens,ការត្រាស់ដឹង
enlist,ចូល
enlisted,ចុះឈ្មោះ
enlisting,ព្យាយាមស្វះស្វែងរក
enlistment,ចូលបម្រើ
enlists,ចុះឈ្មោះ
enliven,enliven
enlivened,enliven
enlivening,enlivening
enlivens,enliven
enmasse,enmasse
enmeshed,enmeshed
enmities,សត្រូវ
enmity,សត្រូវ
enneads,enneads
ennoble,ថ្លៃថ្នូរ
ennobled,ennobled
ennobles,ថ្លៃថ្នូរ
ennobling,ថ្លៃថ្នូរ
ennui,ennui
enormities,ធំសម្បើម
enormity,ធំសម្បើម
enormous,ធំសម្បើម
enormously,យ៉ាងខ្លាំង
enough,គ្រប់គ្រាន់
enounced,enounced
enounces,enounces
enquire,សួរ
enquired,សួរ
enquirer,enquirer
enquirers,enquirers
enquires,សំណួរ
enquiries,សំណួរ
enquiring,សួរ
enquiringly,enquiringly
enquiry,សំណួរ
enrage,អន់ចិត្ដ
enraged,អន់ចិត្ដ
enrages,អន់ចិត្ដ
enraging,អន់ចិត្ដ
enraptured,enraptured
enrich,Enrich
enriched,តុបតែងបន្ថែម
enriches,បង្កើន
enriching,បង្កើន
enrichment,ចម្រាញ់
enrichments,បង្កើន
enrobe,enrobe
enrobed,enrobed
enrol,ចុះេឈាមះ
enroll,ចុះេឈាមះ
enrolled,ដែលបានចុះឈ្មោះ
enrolling,ចុះឈ្មោះ
enrolls,ការចុះឈ្មោះចូលរៀន
enrolment,ការចុះឈ្មោះចូលរៀន
enrolments,ការចុះឈ្មោះ
enrols,ចុះឈ្មោះចូលរៀន
enroute,enroute
ensconce,ensconce
ensconced,ensconced
ensemble,ណ្តុំ
ensembles,វង់
enshrine,enshrine
enshrined,enshrined
enshrines,enshrines
enshrining,enshrining
enshroud,enshroud
enshrouded,enshrouded
ensign,ទង់
ensigns,Ensign
enslave,ទាសករ
enslaved,ញៀន
enslavement,ទាសករ
enslaves,ទាសករ
enslaving,ទាសករ
ensnare,ensnare
ensnared,ensnared
ensnaring,ensnaring
ensnarl,ensnarl
ensue,ensue
ensued,ensued
ensues,ensues
ensuing,លទ្ធផលច្រើន
ensure,ធានាឱ្យបាននូវ
ensured,ប្រាកដ
ensures,ធានា
ensuring,ការធានា
entablature,entablature
entail,រួមបញ្ចូលអ្វីខ្លះ
entailed,entail
entailing,entail
entailment,entail
entails,entail
entangle,ជាប់
entangled,ដែលជាប់សំណាញ់
entanglement,ការជាប់សំណាញ់
entanglements,entanglements
entangler,ជាប់
entangles,ជាប់
entangling,ជាប់
entente,entente
enter,ចូល
entered,ដែលបានបញ្ចូល
entering,ចូល
enteritis,បញ្ចូល
enterprise,សហគ្រាស
enterprises,សហគ្រាស
enterprising,សហគ្រាស
enters,ចូល
entertain,កំសាន្ត
entertained,កំសាន្ត
entertainer,ការកំសាន្ត
entertainers,តារា
entertaining,កម្សាន្ត
entertainingly,entertainingly
entertainment,ការកំសាន្ត
entertainments,ហាងទំនិញ
entertains,កំសាន្ត
enthalpies,enthalpy
enthalpy,enthalpy
enthralled,បាន enthralled
enthralling,គួរឱ្យចាប់អារម្មណ៍
enthrone,ការឡើងសោយរាជ្យ
enthroned,គ្រងរាជ្យ
enthronement,ការឡើងសោយរាជ្យ
enthuse,enthused
enthused,enthused
enthuses,enthused
enthusiasm,ភាពរីករាយ
enthusiasms,ភាពរីករាយ
enthusiast,ស្រលាញ់
enthusiastic,សាទរ
enthusiastically,យ៉ាងអន្ទះអន្ទែង
enthusiasts,យ៉ាងអន្ទះអន្ទែង
enthusing,enthused
entice,ការល្បួង
enticed,ការល្បួង
enticement,ការទាក់ទាញ
enticements,ការល្បួង
entices,ការល្បួង
enticing,ទូន្មាន
enticingly,enticingly
entire,ទាំងមូល
entirely,ទាំងស្រុង
entires,ទាំងមូល
entirety,ទាំងស្រុង
entities,អង្គភាព
entitle,ចំណងជើង
entitled,សិទ្ធិទទួលបាន
entitlement,សិទ្ធិ
entitlements,ការផ្ដល់សិទ្ធិ
entitles,ការផ្ដល់សិទ្ធិ
entitling,ការផ្ដល់សិទ្ធិ
entity,អង្គភាព
entomb,entomb
entombed,entombed
entombment,entombment
entombs,entombs
entomological,entomological
entomologist,សត្វល្អិត
entomologists,សត្វល្អិត
entomology,បាណកសាស្ត្រ
entourage,បក្ខពួក
entrails,ពោះវៀន
entrain,កំសាន្ត
entrained,កំសាន្ត
entrainment,entrainment
entrance,ច្រកចូល
entranced,ភ្លឹក
entrances,ច្រកចូល
entrancing,ច្រកចូល
entrant,ចូល
entrants,ចូលរួម
entrap,អន្ទាក់
entrapment,អន្ទាក់
entrapped,អន្ទាក់
entrapping,អន្ទាក់
entreat,ដោយរាក់ទាក់
entreated,ដោយរាក់ទាក់
entreaties,អង្វរ
entreating,ដោយរាក់ទាក់
entreatingly,entreatingly
entreats,ដោយរាក់ទាក់
entreaty,លោកម្ដង
entree,entree
entrench,ការលាក់ខ្លួន
entrenched,ហាក់
entrenching,ការលាក់ខ្លួន
entrenchment,ការលាក់ខ្លួន
entrepreneur,សហគ្រិន
entrepreneurial,សហគ្រិន
entrepreneurs,សហគ្រិន
entrepreneurship,ភាពជាសហគ្រិន
entries,ធាតុ
entropic,entropic
entropy,ធាតុ
entrust,ប្រគល់
entrusted,ប្រគល់
entrusting,ទុកចិត្ត
entrusts,ទុកចិត្ត
entry,ធាតុ
entwine,entwine
entwined,entwined
entwines,entwines
entwining,entwining
enumerable,សម្បត្តិ
enumerate,enumeration
enumerated,enumeration
enumerates,enumeration
enumerating,enumeration
enumeration,ភាស
enumerations,enumeration
enumerator,enumeration
enumerators,មន្ត្រីសម្ភាសន៍
enunciate,enunciate
enunciated,enunciated
enunciating,enunciating
enunciation,enunciation
envelop,ខ្នងសំបុត្រ
envelope,ស្រោមសំបុត្រ
enveloped,ស្រោមសំបុត្រ
enveloper,ស្រោមសំបុត្រ
envelopers,ស្រោមសំបុត្រ
envelopes,ស្រោមសំបុត្រ
enveloping,ខ្លៅ
envelops,ស្រោមសំបុត្រ
enviable,គឹមឡុង
enviably,គឹមឡុង
envied,ការច្រណែន
envies,ការច្រណែន
envious,ច្រណែន
enviously,enviously
environ,បរិស្ថាន
environment,បរិស្ថាន
environmental,បរិស្ថាន
environmentalism,បរិស្ថាន
environmentalist,បរិស្ថាន
environmentalists,បរិស្ថាន
environmentally,បរិស្ថាន
environments,បរិស្ថាន
environs,បរិស្ថាន
envisage,អនាគត
envisaged,អនាគត
envisages,អនាគត
envisaging,អនាគត
envision,នឹក
envisioned,Envisioning
envoy,ប្រេសិត
envoys,បេសកជន
envy,ការច្រណែន
envying,ច្រណែនឈ្នានីសគ្នា
enwrap,enwrap
enzymatic,អង់ស៊ីម
enzyme,អង់ហ្ស៊ីម
enzymes,អង់ស៊ីម
eon,eon
eons,eons
eosin,eosin
epaulettes,epaulettes
ephemera,ephemera
ephemeral,ephemeral
ephemeris,ephemeris
ephor,ephor
epic,វីរភាព
epically,វីរភាព
epicarp,epicarp
epicentre,ចំណុចកណ្តាល
epics,អង្គការ Epic
epicure,epicure
epicurean,epicurean
epicycles,កំពូល
epicycloid,epicycloid
epidemic,ការ​រាតត្បាត
epidemics,រោគរាតត្បាត
epidemiological,អេពីដេមី
epidemiologist,រោគរាតត្បាត
epidemiologists,រីករាលដាលនៃជំងឺ
epidemiology,រោគរាតត្បាត
epidermal,epidermal
epidermis,epidermis
epidural,epidural
epigenetic,epigenetic
epigon,epigon
epigones,epigones
epigram,epigrams
epigrammatic,epigrammatic
epigrams,epigrams
epigraph,ការ epigraphic
epigraphical,epigraphic
epigraphy,រយះអក្សចារិក
epilepsy,ជំងឺឆ្កួតជ្រូក
epileptic,ស្កន់
epileptics,ជំងឺស
epilogue,epilogue
epinephrine,epinephrine
epiphanies,ឆ្នាំងសាក Epiphany
epiphenomena,epiphenomena
epiphenomenon,epiphenomenon
episcopacy,episcopacy
episcopal,គ្រឹស្តសាសនា
episcopalian,episcopalian
episcopate,គ្រឹស្តសាសនា
episode,ភាគ
episodes,ភាគ
episodic,ភាគ
episodically,ភាគ
epistemic,epistemic
epistemological,epistemological
epistemology,epistemology
epistle,សំបុត្រ
epistles,សំបុត្រ
epistolary,epistolary
epitap,epitap
epitaph,epitaph
epitaphs,epitaph
epitaxial,epitaxial
epitaxy,epitaxy
epithelial,epithelial
epithelium,epithelium
epithet,epithet
epithetic,epithet
epithets,epithets
epitome,គំរូ
epitomise,គំរូ
epitomised,គំរូ
epitomises,គំរូ
epoch,សម័យ
epochal,សម័យ
epochs,សម័យ
epoxies,epoxy
epoxy,epoxy
epsilon,Epsilon
equable,equable
equably,equably
equal,ស្មើ
equalisation,សមភាព
equalise,ស្មើគ្នា
equalised,ស្មើគ្នាដូច្នេះ
equaliser,ស្មើ
equalisers,ស្មើ
equalising,ភាពស្មើគ្នា
equalities,ស្មើភាពគ្នា
equality,សមភាព
equalled,ស្មើភាពគ្នា
equalling,ស្មើ
equally,ស្មើភាពគ្នា
equals,ស្មើ
equanimity,equanimity
equate,សមីការ
equated,សមីការ
equates,សមីការ
equating,សមីការ
equation,សមីការ
equations,សមីការ
equator,ខ្សែអេក្វាទ័រ
equatorial,អេក្វាទ័រ
equerry,equerry
equestrian,សេះ
equestrianism,ជិះសេះប្រណាំង
equiangular,equiangular
equidistant,equidistant
equilateral,សមបាត
equilibrating,equilibrating
equilibration,equilibration
equilibria,equilibria
equilibrium,លំនឹង
equine,មិនធ្លាប់មានពីមុន
equinoctial,equinoctial
equinox,Equinox
equinoxes,Equinox
equip,បំពាក់
equipartition,equipartition
equipment,ឧបករណ៍
equipments,ឧបករណ៍
equipped,បំពាក់
equipping,បរិក្ខារ
equips,បរិក្ខារ
equitable,សមភាព
equitably,មិនរើសមុខ
equities,ភាគហ៊ុន
equity,ភាគហ៊ុន
equivalence,ស្មើ
equivalences,សមមូល
equivalent,ដែលមានតំលៃស្មើ
equivalently,សមមូល
equivalents,សមមូល
equivocal,equivocal
equivocated,equivocal
equivocating,equivocal
equivocation,equivocation
equivocations,equivocal
era,សម័យ
eradicate,កាត់បន្ថយ
eradicated,បំបាត់
eradicating,ការលុបបំបាត់
eradication,ការលុបបំបាត់
eras,សម័យ
erasable,លុប
erase,លុប
erased,លុប
eraser,ជ័រលុប
erasers,ជ័រលុប
erases,លុប
erasing,លុប
erasure,ការលុប
erasures,ការលុប
erbium,erbium
ere,ក្រែង
erect,ត្រង់
erected,កសាងឡើង
erecter,ឡើងរឹងរបស់លិង្គ
erectile,លិង្គ
erecting,ឡើងរឹងរបស់លិង្គ
erection,ឡើងរឹងរបស់លិង្គ
erections,គ្រែ
erectly,erectly
erects,ឡើងរឹងរបស់លិង្គ
erg,ERG
ergo,ergo
ergodic,ergodic
ergonomic,ergonomic
ergonomically,ergonomically
ergonomics,វិទ្យាសាស្ត្រ
ergophobia,ergophobia
ergot,Ergot បាន
ergs,ergs
erica,Erica
ericas,Erica
eritrea,អេរីទ្រា
ermine,Ermine
erode,ច្រោះ
eroded,រិចរិល
erodes,រិចរិល
eroding,រិចរិល
erogenous,erogenous
eros,Eros
erose,សំណឹក
erosion,សំណឹក
erosional,erosional
erosions,រលាក
erosive,សំណឹក
erotic,erotic
erotica,ការ erotica
erotically,erotic
eroticism,eroticism
err,យល់ខុស
errand,បេសកកម្ម
errands,កិច្ច
errant,ចរាចរ
errata,errata
erratic,ខុសប្រក្រតី
erratically,ខុសប្រក្រតី
erratum,erratum
erred,ខុស
erring,ដែលធ្វើខុស
erroneous,ភាន់ច្រលំ
erroneously,ច្រឡំ
error,កំហុស
errors,កំហុស
errs,errs
ersatz,ersatz
erst,Erste
erstwhile,erstwhile
erudite,ចំណេះដឹងជ្រៅជ្រះ
erudition,ចំណេះដឹងជ្រៅជ្រះ
erupt,ការផ្ទុះ
erupted,ផ្ទុះឡើង
erupting,ការផ្ទុះ
eruption,ផ្ទុះ
eruptions,ផ្ទុះ
eruptive,បន្ទុះភ្នំភ្លើង
erupts,ផ្ទុះ
erysipelas,erysipelas
esau,អេសាវ
escalade,Escalade
escalate,កាន់តែខ្លាំង
escalated,ជណ្តើរយន្ត
escalates,អំពើ
escalating,កើនឡើង
escalation,កើនឡើង
escalator,ជណ្តើរយន្ត
escalators,ការកើនឡើង
escapade,Escapade
escapades,escapades
escape,រត់គេចខ្លួន
escaped,រត់គេចខ្លួន
escapee,រត់គេចខ្លួន
escapees,រត់គេចខ្លួន
escapement,រត់គេចខ្លួន
escapes,ការរត់គេចខ្លួន
escaping,គេចចេញ
escapism,រត់គេចខ្លួន
escapist,escapist
escapology,escapology
escarp,ជួរភ្នំ
escarpment,ជួរភ្នំ
escarpments,ជួរភ្នំ
escarps,ជួរភ្នំ
eschatological,eschatological
eschatology,eschatology
eschew,eschew
eschewed,eschew
eschewing,ព្យាយាមគេចវេះ
eschews,eschew
escort,ចុន
escorted,escort
escorting,អមការពារ
escorts,escorts
escudo,escudo
eskimo,Eskimo
esoteric,Esoteric
esoterica,esoterica
esoterically,Esoteric
espadrilles,espadrilles
especial,ពិសេស
especially,ពិសេស
espied,espied
espionage,បទចារកម្ម
esplanade,esplanade
espousal,espousal
espouse,espouse
espoused,espoused
espouses,espouses
espousing,espousing
espresso,espresso
esprit,Esprit
espy,espy
espying,espying
esquire,Esquire
esquires,Esquire
essay,អត្ថបទ
essayed,ការសរសេរតែងសេចក្តី
essayist,essayists
essayists,essayists
essays,ការសរសេរតែងសេចក្តី
essen,Essen
essence,សារៈសំខាន់
essences,សារៈសំខាន់
essential,សារៈសំខាន់
essentialism,Essentials
essentialist,essentialist
essentially,សំខាន់
essentials,សារៈសំខាន់
est,គឺ
establish,បង្កើត
established,បានបង្កើតឡើង
establishes,បង្កើត
establishing,បង្កើត
establishment,បង្កើត
establishments,គ្រឹះស្ថាន
estate,អចលនទ្រព្យ
estates,មរតក
esteem,ការជឿជាក់លើ
esteemed,បានផ្ដល់កិត្តិយស
esteems,យល់ថា
ester,ester
esters,esters
esthete,សោភណ្ឌភាព
esthetic,សោភណ្ឌភាព
estimable,ការប៉ាន់ប្រមាណ
estimate,ការប៉ាន់ប្រមាណ
estimated,ការប៉ាន់ប្រមាណ
estimates,ការប៉ាន់ប្រមាណ
estimating,ការប៉ាន់ប្រមាណ
estimation,ការប៉ាន់ស្មាន
estimations,ការប៉ាន់ប្រមាណ
estimator,ការប៉ាន់ប្រមាណ
estimators,ការប៉ាន់ប្រមាណ
estonia,អេស្តូនី
estranged,ដែលបែកគ្នា
estrangement,estrangement ជា
estrangements,estrangement
estuaries,មាត់ទន្លេ
estuarine,ជ្ម
estuary,estuary
eta,ETA
etal,etal
etcetera,ជាដើម
etch,etched
etched,ឆ្លាក់
etcher,etcher
etchers,etchers
etches,etched
etching,etching
etchings,etched
eternal,អស់កល្បជានិច្ច
eternally,អស់កល្បជានិច្ច
eternity,ភាពអស់កល្បជានិច្ច
ethane,Ethan
ethanol,អេតាណុល
ether,អេធើរ
ethereal,ethereal មួយ
ethereally,អេធើរ
etherised,etherised
ethic,ភាគតិច
ethical,វិជ្ជាជីវៈ
ethically,ក្រមសីលធម៍
ethicist,ethicist
ethics,សីលធម៍
ethiopia,ប្រទេសអេត្យូពី
ethnic,ជនជាតិភាគតិច
ethnical,ជនជាតិ
ethnically,ជនជាតិដើម
ethnicity,ជាតិសាសន៍
ethnocentric,ethnocentrism
ethnographer,ethnographer
ethnographers,ethnographer
ethnographic,ពិន្ទុសាស្ត្រ
ethnography,Ethnography
ethnological,ethnological
ethnology,Ethnology
ethological,ethological
ethologist,ឥរិយាវិទូ
ethologists,ពួកអ្នកឥរិយាវិទូ
ethology,ឥរិយាវិទ្យា
ethos,ការគោរព
ethyl,ethyl
ethylene,អេទីឡែន
etiquette,ការេ
etna,Etna
etudes,Etudes
etui,etui
etymological,etymological
etymologically,etymologically
etymologies,និរុត្តិសាស្ត្រទី
etymologist,etymologists
etymologists,etymologists
etymology,និរុត្តិសាស្ត្រទី
eucalyptus,ប្រេងខ្យល់
eugenic,Eugene
eugenics,Eugene
eukaryote,eukaryotes
eukaryotes,eukaryotes
eukaryotic,eukaryotes
eulogies,ពាក្យសរសើរ
eulogise,eulogise
eulogises,eulogises
eulogising,eulogizers
eulogistic,eulogistic
eulogy,ពាក្យសរសើរ
eunuch,មន្ដ្រី
eunuchs,មហាតលិក
euphemism,euphemism
euphemisms,euphemisms
euphemistic,euphemistically
euphemistically,euphemistically
euphonious,Euphony
euphonium,euphonium
euphoniums,euphoniums
euphony,Euphony
euphoria,សប្បាយ
euphoric,ស្រណុកស្រួលក្នុងអារម្មណ៍
eurasia,អឺរ៉ាស៊ី
eurasian,Eurasian
eureka,អ៊ូរី
eurekas,អ៊ូរី
euro,ប្រាក់អឺរ៉ូ
europe,អឺរ៉ុប
european,អឺរ៉ុប
eurydice,eurydice
eutectic,eutectic
euthanasia,euthanasia
evacuate,ជម្លៀស
evacuated,ជម្លៀសចេញ
evacuating,ជម្លៀស
evacuation,ការជម្លៀសចេញ
evacuations,ជម្លៀស
evacuee,ជម្លៀស
evacuees,ជម្លៀស
evadable,បន្ថែមចំពោះអ្នកគេច
evade,បន្ថែមចំពោះអ្នកគេច
evaded,បន្ថែមចំពោះអ្នកគេច
evader,បន្ថែមចំពោះអ្នកគេច
evaders,បន្ថែមចំពោះអ្នកគេច
evades,បន្ថែមចំពោះអ្នកគេច
evading,បង់
evaluable,ការវាយតម្លៃ
evaluate,វាយតម្លៃ
evaluated,ការវាយតំលៃ
evaluates,វាយតម្លៃ
evaluating,ការវាយតំលៃ
evaluation,ការវាយតម្លៃ
evaluational,ការវាយតម្លៃ
evaluations,ការវាយតំលៃ
evaluative,យ
evaluator,វាយតំលៃ
evaluators,អ្នកវាយតម្លៃ
evanescent,evanescent
evangelical,ផ្សាយដំណឹងល្អ
evangelicalism,អ្នកផ្សព្វផ្សាយ
evangelicals,ពួកអ្នកជឿព្រះយេស៊ូវ
evangelisation,ពួកអ្នកជឿព្រះយេស៊ូវ
evangelise,evangelise
evangelising,evangelising
evangelism,ផ្សាយដំណឹងល្អ
evangelist,អ្នកផ្សាយដំណឹងល្អ
evangelistic,ផ្សាយដំណឹងល្អ
evangelists,ផ្សាយដំណឹងល្អ
evaporate,ហួត
evaporated,ហួត
evaporates,ហួត
evaporating,ធូរស្បើយ
evaporation,ហួត
evaporator,បង្ហួត
evasion,ការគេចវេស
evasions,ការគេចវេស
evasive,គេចវេះ
evasively,ការគេចវេស
evasiveness,ការគេចវេស
eve,នៅមុនថ្ងៃ
even,សូម្បីតែ
evened,evened
evener,ល្ងាច
evenhanded,evenhanded
evening,ល្ងាច
evenings,ពេលល្ងាច
evenly,រាបស្មើ
evenness,ល្ងាច
evens,គូ
evensong,Evensong
event,ព្រឹត្តិការណ៍
eventful,ព្រឹត្តិការណ៍
eventide,ល្ងាច
eventing,ការបង្កើតព្រឹត្តិការណ៍
events,ព្រឹត្តិការណ៍
eventual,នៅទីបំផុត
eventualities,ហេតុ
eventuality,ជាយថាហេតុ
eventually,នៅទីបំផុត
ever,ដែលមិនធ្លាប់មាន
everchanging,everchanging
everest,អេវើរ៉េស
evergreen,បៃតង
evergreens,បៃតង
everincreasing,everincreasing
everlasting,អស់កល្បជានិច្ច
everlastingly,រហូត
everliving,everliving
evermore,រហូតតទៅ
everpresent,everpresent
eversion,eversion
everting,Evert
every,ជារៀងរាល់
everybody,អ្នករាល់គ្នា
everyday,ជា​រៀងរាល់ថ្ងៃ
everyone,មនុស្សគ្រប់គ្នា
everything,អ្វីគ្រប់យ៉ាង
everywhere,នៅគ្រប់ទីកន្លែង
eves,eves
evict,បណ្តេញចេញ
evicted,បណ្តេញចេញ
evicting,បណ្តេញចេញ
eviction,បណ្តេញចេញ
evictions,បណ្តេញចេញ
evicts,បណ្តេញចេញ
evidence,ភស្តុតាង
evidenced,តាង
evidences,ភស្តុតាង
evident,ភស្តុតាង
evidential,ភ័ស្តុតាង
evidently,តាមមើលទៅ
evil,អាក្រក់
evildoer,គេប្រព្រឹត្តអំពើអាក្រក់
evilly,evilly
evilness,អាក្រក់
evils,អាក្រក់
evince,evince
evinced,evinced
evinces,evinces
evincing,evincing
eviscerate,eviscerate
evocation,ការ evocative
evocations,evocative
evocative,ការ evocative
evocatively,evocative
evoke,evoke
evoked,evoked
evokes,evokes
evoking,រំលឹកអំពី
evolute,បម្រែបម្រួល
evolution,ការវិវត្តន៍
evolutionarily,evolutionarily
evolutionary,ការវិវត្ត
evolutionism,evolutionism
evolutionist,ការវិវត្ដ
evolutionists,រវិវត្ដន៍
evolutions,ការវិវត្ដ
evolve,Evolve
evolved,ការវិវត្ត
evolves,ដំណាក់កាលវិវដ្ត
evolving,ការវិវត្ត
ewe,ញី
ewes,ewes ព
exacerbate,ធ្ងន់ធ្ងរ
exacerbated,ធ្ងន់ធ្ងរ
exacerbates,កាន់តែ
exacerbating,ធ្ងន់ធ្ងរឡើង
exacerbation,ធ្វើឱ្យធ្ងន់ធ្ងរ
exact,ពិតប្រាកដ
exacted,ពិតប្រាកដ
exacting,exacting
exaction,លុប
exactitude,exactitude
exactly,យ៉ាង​ពិតប្រាកដ
exactness,ភាពត្រឹមត្រូវនិងភាព
exacts,ពិតប្រាកដ
exaggerate,ការបំផ្លើស
exaggerated,បំផ្លើស
exaggeratedly,exaggeratedly
exaggerates,ការបំផ្លើស
exaggerating,និយាយបំផ្លើស
exaggeration,ការបំផ្លើស
exaggerations,បំផ្លើស
exalt,ការលើកតម្កើង
exaltation,ការលើកតម្កើង
exalted,តម្កើងឡើង
exalting,ការលើកតម្កើង
exalts,ការលើកតម្កើង
exam,ការប្រឡង
examinable,ការពិនិត្យសុខភាព
examination,ពិនិត្យ
examinations,ប្រលង
examine,ពិនិត្យមើល
examined,បានពិនិត្យ
examinees,បេក្ខជនប្រឡង
examiner,ត្រួតពិនិត្យ
examiners,ការពិនិត្យសុខភាព
examines,ពិនិត្យ
examining,ការពិនិត្យមើល
example,ឧទាហរណ៍
examples,ឧទាហរណ៍
exams,ការប្រឡង
exasperate,តតាត់
exasperated,តតាត់
exasperatedly,exasperatedly
exasperating,exasperating
exasperation,តតាត់
excavate,ការជីក
excavated,ការជីក
excavating,ជីក
excavation,ការជីក
excavations,ការជីកកកាយ
excavator,ជីក
excavators,ជីក
